SF;FSP;BG;Kursart;Kursart2;Bezeichnung;SGLBereich;Flag;geaendert
"GE";"**";"**";"96";"EGS1";"Ergänzungsstunden ohne Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.1 und 3  APO-SI)";0;"1";
"GE";"**";"**";"96";"EGS1";"Ergänzungsstunden ohne Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.1 und 3  APO-SI)";0;"2";
"GE";"**";"**";"97";"EGSN";"Ergänzungsstunden mit  Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.2 und 4  APO-SI)";0;"1";
"GE";"**";"**";"97";"EGSN";"Ergänzungsstunden mit  Benotung 
(§ 3 Abs. 1, 3  und  § 19 Abs. 3  Nr.2 und 4  APO-SI)";0;"2";
"GE";"**";"**";"99";"HU";"Hausunterricht";0;"1";
"GE";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"GE";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"GE";"**";"**";"99";"*****";"keine Abweichung der Art der Gruppe zur Hauptzeile";0;"2";
"GE";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"2";
"GM";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"GM";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"2";
"GM";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"1";
"GM";"**";"**";"01";"G";"Fachleistungsebene: Grundebene/-kurs";0;"2";
"GM";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"1";
"GM";"**";"**";"02";"E";"Fachleistungsebene: Erweiterungsebene/-kurs";0;"2";
"GM";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"1";
"GM";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"1";
"GM";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"2";
"GM";"**";"**";"04";"FFU";"Fachbezogener Förderunterricht";0;"2";
"GM";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"1";
"GM";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"1";
"GM";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"2";
"GM";"**";"**";"05";"FUF";"Fachunabhängiger Förderunterricht";0;"2";
"GM";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"1";
"GM";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"1";
"GM";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"2";
"GM";"**";"**";"10";"WPI";"Wahlpflichtunterricht";0;"2";
"GM";"**";"**";"13";"G";"Grundkurs (Bildungsgang Hauptschule)";0;"1";
"GM";"**";"**";"13";"G";"Grundkurs (Bildungsgang Hauptschule)";0;"2";
"GM";"**";"**";"16";"E";"Erweiterungskurs (Bildungsgang Hauptschule)";0;"1";
"GM";"**";"**";"16";"E";"Erweiterungskurs (Bildungsgang Hauptschule)";0;"2";
"GM";"**";"**";"26";"WPU";"Wahlpflichtunterricht (Bildungsgang Hauptschule)";0;"1";
"GM";"**";"**";"26";"WPU";"Wahlpflichtunterricht (Bildungsgang Hauptschule)";0;"2";
"GM";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GM";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GM";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GM";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GM";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GM";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"2";
"GM";"**";"**";"56";"UMPF";"Unterricht in der Herkunftssprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches";0;"1";
"GM";"**";"**";"56";"UMPF";"Unterricht in der Herkunftssprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches";0;"2";
"GM";"**";"**";"61";"WP1FS";"Wahlpflichtbereich, Fremdsprachlich (Bildungsgang Realschule)";0;"1";
"GM";"**";"**";"61";"WPI";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"1";
"GM";"**";"**";"61";"WP1FS";"Wahlpflichtbereich, Fremdsprachlich (Bildungsgang Realschule)";0;"2";
"GM";"**";"**";"61";"WPI";"Wahlfplichtunterricht: 2. Fremdsprache (Bildungsgang Gymnasium)";0;"2";
"GM";"**";"**";"62";"WP1SW";"Wahlpflichtbereich: Sozialwissenschaftlich (Bildungsgang Realschule)";0;"1";
"GM";"**";"**";"62";"WPII";"Wahlpflichtunterricht: Fächerkombination im math.-naturwiss, gesellschaftswiss. oder künstlerischen Schwerpunkt (GY)";0;"1";
"GM";"**";"**";"62";"WP1SW";"Wahlpflichtbereich: Sozialwissenschaftlich (Bildungsgang Realschule)";0;"2";
"GM";"**";"**";"62";"WPII";"Wahlpflichtunterricht: Fächerkombination im math.-naturwiss, gesellschaftswiss. oder künstlerischen Schwerpunkt (GY)";0;"2";
"GM";"**";"**";"63";"SPA";"Wahlpflichtunterricht: Schwerpunktübergreifende Angebote (GY)";0;"1";
"GM";"**";"**";"63";"WP1NT";"Wahlpflichtbereich: Naturwissenschaftlich (Bildungsgang Realschule)";0;"1";
"GM";"**";"**";"63";"SPA";"Wahlpflichtunterricht: Schwerpunktübergreifende Angebote (GY)";0;"2";
"GM";"**";"**";"63";"WP1NT";"Wahlpflichtbereich: Naturwissenschaftlich (Bildungsgang Realschule)";0;"2";
"GM";"**";"**";"64";"F3";"Wahlplflichtunterricht: Einzelfach im math.-natur., techn., gesellschafts, künstlerischen Schwerpunkt (GY)";0;"1";
"GM";"**";"**";"64";"WP1MU";"Wahlpflichtbereich: Musisch-künstlerisch (Bildungsgang Realschule)";0;"1";
"GM";"**";"**";"64";"F3";"Wahlplflichtunterricht: Einzelfach im math.-natur., techn., gesellschafts, künstlerischen Schwerpunkt (GY)";0;"2";
"GM";"**";"**";"64";"WP1MU";"Wahlpflichtbereich: Musisch-künstlerisch (Bildungsgang Realschule)";0;"2";
"GM";"**";"**";"65";"FS3";"Wahlpflichtunterricht der Klassen 08 und 09: 3. Fremdsprache (Bildungsgang Gymnasium)";0;"1";
"GM";"**";"**";"65";"FS3";"Wahlpflichtunterricht der Klassen 08 und 09: 3. Fremdsprache (Bildungsgang Gymnasium)";0;"2";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Hauptschule)";0;"1";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Realschule)";0;"1";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Gymnasium)";0;"1";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Realschule)";0;"2";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Hauptschule)";0;"2";
"GM";"**";"**";"67";"WPII";"Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI (Bildungsgang Gymnasium)";0;"2";
"GM";"**";"**";"71";"AB3";"3. Abiturfach";0;"1";
"GM";"**";"**";"71";"AB4";"4. Abiturfach";0;"1";
"GM";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"1";
"GM";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"1";
"GM";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"1";
"GM";"**";"**";"71";"AB3";"3. Abiturfach";0;"2";
"GM";"**";"**";"71";"AB4";"4. Abiturfach";0;"2";
"GM";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"2";
"GM";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"2";
"GM";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"2";
"GM";"**";"**";"72";"LK1";"Leistungskurs I";0;"1";
"GM";"**";"**";"72";"LK2";"Leistungskurs II";0;"1";
"GM";"**";"**";"72";"LK1";"Leistungskurs I";0;"2";
"GM";"**";"**";"72";"LK2";"Leistungskurs II";0;"2";
"GM";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"1";
"GM";"**";"**";"76";"ZK";"Zusatzkurs gem. § 12 APO-GOSt";0;"2";
"GM";"**";"**";"77";"VTF";"Vertiefungsfach";0;"1";
"GM";"**";"**";"77";"VTF";"Vertiefungsfach";0;"2";
"GM";"**";"**";"78";"PJK";"Projektkurs";0;"1";
"GM";"**";"**";"78";"PJK";"Projektkurs";0;"2";
"GM";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"GM";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"2";
"GM";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"GM";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"2";
"GM";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"1";
"GM";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"2";
"GM";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"GM";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"2";
"GM";"**";"**";"88";"EBA";"Erweitertes Bildungsangebot (nur im Bildungsgang Hauptschule auslaufend)";0;"1";
"GM";"**";"**";"88";"EBA";"Erweitertes Bildungsangebot (nur im Bildungsgang Hauptschule auslaufend)";0;"2";
"GM";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"GM";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"2";
"GM";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
"GM";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"2";
"GM";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"1";
"GM";"**";"**";"91";"TAL";"Unterricht im Rahmen des Schulversuchs Talentschule";0;"2";
"GM";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"1";
"GM";"**";"**";"94";"BUS";"Unterricht im Rahmen der Initiative 'Kein Abschluss ohne Anschluss' einschl. 'Schule trifft Arbeitswelt'";0;"2";
"GM";"**";"**";"95";"KMFÖ";"Zusätzlicher Förderunterricht im Rahmen der Initiative 'Komm mit'";0;"1";
"GM";"**";"**";"95";"KMFÖ";"Zusätzlicher Förderunterricht im Rahmen der Initiative 'Komm mit'";0;"2";
"GM";"**";"**";"96";"EGS1";"Ergänzungsstunden gem. § 3 Abs. 1, 3 und § 19 Abs. 3 APO-SI";0;"1";
"GM";"**";"**";"96";"EGS1";"Ergänzungsstunden gem. § 3 Abs. 1, 3 und § 19 Abs. 3 APO-SI";0;"2";
"GM";"**";"**";"99";"PUK";"Unterricht im Klassenverband";0;"1";
"GM";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"1";
"GM";"**";"**";"99";"*****";"keine Abweichung der Art der Gruppe zur Hauptzeile";0;"2";
"GM";"**";"**";"99";"ZUV";"zusätzliche Unterrichtsveranstaltung (z.B. Schulchor)";0;"2";
"GY";"**";"**";"00";"PUT";"Pflichtunterricht für Teile von Klassen";0;"1";
"GY";"**";"**";"33";"AST";"Arbeitsstunde entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"36";"AGGT";"Arbeitsgemeinschaft entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"37";"FOGT";"Förderangebot entsprechend § 9 Abs. 2, 3  SchulG";0;"1";
"GY";"**";"**";"55";"PROJ";"Profilklasse gem. § 21 Abs. 3 APO-SI";0;"1";
"GY";"**";"**";"56";"UMPF";"Unterricht in der Herkunftssprache anstelle einer Pflichtfremdsprache oder eines Wahlpflichtfaches";0;"1";
"GY";"**";"**";"61";"WPI";"Wahlpflichtunterricht: 2. Fremdsprache";0;"1";
"GY";"**";"**";"62";"WPII";"Wahlpflichtunterricht: Fächerkombination im math.-naturwiss, gesellschaftswiss. oder künstlerischen Schwerpunkt";0;"1";
"GY";"**";"**";"63";"SPA";"Wahlpflichtunterricht: Schwerpunktübergreifende Angebote";0;"1";
"GY";"**";"**";"64";"F3";"Wahlplflichtunterricht: Einzelfach im math.-natur., techn., gesellschaftswiss, künstlerischen Schwerpunkt";0;"1";
"GY";"**";"**";"65";"FS3";"Wahlpflichtunterricht: 3. Fremdsprache";0;"1";
"GY";"**";"**";"67";"WPU";"Wahlplflichtbereich: Arbeitsgemeinschaften aufgrund der Regelung in § 3 Abs. 6 APO-SI";0;"1";
"GY";"**";"**";"71";"AB3";"3. Abiturfach";0;"1";
"GY";"**";"**";"71";"AB4";"4. Abiturfach";0;"1";
"GY";"**";"**";"71";"EFSP";"Ersatzfach für Sport als 4. Abiturfach";0;"1";
"GY";"**";"**";"71";"GKM";"Grundkurs mündlich";0;"1";
"GY";"**";"**";"71";"GKS";"Grundkurs schriftlich";0;"1";
"GY";"**";"**";"72";"LK1";"Leistungskurs I";0;"1";
"GY";"**";"**";"72";"LK2";"Leistungskurs II";0;"1";
"GY";"**";"**";"76";"ZK";"Zusatzkurs gem. § 11 Abs. 3 APO-GOSt";0;"1";
"GY";"**";"**";"77";"VTF";"Vertiefungsfach  § 8, 11  APO - GOSt";0;"1";
"GY";"**";"**";"78";"PJK";"Projektkurs § 11 Abs. 8  APO - GOSt";0;"1";
"GY";"**";"**";"81";"SPFU";"Sportförderunterricht";0;"1";
"GY";"**";"**";"82";"LRS";"Schülerinnen und Schüler mit besonderen Schwierigkeiten im Erlernen des Lesens und Rechtschreibens (LRS)";0;"1";
"GY";"**";"**";"84";"MEU";"Unterricht in der Herkunftssprache (Muttersprachlicher Unterricht)";0;"1";
"GY";"**";"**";"85";"MEU";"Förderung in der deutschen Sprache außerhalb von Sprachfördermaßnahmen gemäß Erlass 13-63 Nr. 3";0;"1";
"GY";"**";"**";"89";"FS";"Förderung neu zugewanderter Schüler in Deutschfördergruppen (teilweise äußere und innere Differenzierung)";0;"1";
"GY";"**";"**";"90";"FS";"Förderung neu zugewanderter Schüler in Deutschförderklassen (vollständige äußere Differenzierung)";0;"1";
