SchulNr;Regschl;ABez1;ABez2;ABez3;PLZ;Ort;Strasse;TelVorw;Telefon;FaxVorw;Fax;ModemVorw;Modem;SF;OeffPri;KurzBez;SchBetrSchl;SchBetrSchlDatum;ArtderTraegerschaft;SchultraegerNr;Schulgliederung;Schulart;Ganztagsbetrieb;FSP;Verbund;Bus;Fachberater;FachberHauptamtl;TelNrDBSalt;RP;Email;URL;CD;Stift;OGTS;SELB;Internat;InternatPlaetze;SMail;SportImAbi;Tal;KonKop;KoRe;KoHo
"100021";"166028";"Rupert-Neudeck-Gesamtschule der Stadt";"Tönisvorst  -Sekundarstufen I und II-";"";"47918";"Tönisvorst";"Corneliusstr. 25";"";"";"";"";null;null;"15";"1";"Tönisvorst, GE Rupert-Neudeck";1;"20170801";"06";"12026";null;"";"1";" ";"0";"0";null;null;null;" ";"100021@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";324806;5688064
"100022";"958028";"Sekundarschule Medebach-Winterberg";"- Sekundarstufe I -";"";"59964";"Medebach";"Schützenstr. 12";"02982";"922930";"02982";"922931";null;null;"14";"1";"Medebach, SK Medebach-Winterberg";1;"20170801";"08";"81644";"TV3";"";"1";" ";"0";"0";null;null;null;" ";"100022@schule.nrw.de";"http://www.sek-medebach-winterberg.de";1;0;"0";"0";"0";0;null;"0";"0";"0";479109;5671472
"100023";"566040";"Gesamtschule Lengerich/Tecklenburg";"- Sekundarstufe I und II -";"";"49525";"Lengerich";"Margarethenstr. 1";"";"";"";"";null;null;"15";"1";"Lengerich, GE Lengerich/Tecklenburg";1;"20170801";"08";"83197";null;"";"1";" ";"0";"0";null;null;null;" ";"100023@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";422527;5782344
"100024";"554020";"Euregioschule Gesamtschule der Stadt";"Gronau, Sekundarstufe I und II";"";"48599";"Gronau (Westf.)";"Gildehauser Damm 49";"02565";"4019761";"02565";"4019762";null;null;"15";"1";"Gronau, GE Euregioschule";1;"20170801";"06";"13687";null;"";"1";" ";"0";"0";null;null;null;" ";"100024@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";366057;5783554
"100025";"570040";"Montessori Gesamtschule Sendenhorst";"Staatl. gen. Ersatzschule der";"Sekundarstufen I und II";"48324";"Sendenhorst";"Teigelkamp 5";"02526";"937407";"02526";"950041";null;null;"15";"2";"Sendenhorst, GE Teigelkamp";1;"20170801";"35";"82661";null;"";"1";" ";"0";"0";null;null;null;"M";"100025@schule.nrw.de";"http://www.montessorischule-sendenhorst.de";1;0;"0";"0";"0";0;null;"0";"0";"0";419653;5743933
"100026";"762004";"Schule unter der Iburg";"Städt. Gemeinschaftsgrundschule";"Bad Driburg, -Primarstufe-";"33014";"Bad Driburg";"Jahnstr. 12";"05253";"3894";"";"";null;null;"02";"1";"Bad Driburg, GG Schule unter der Iburg";1;"20180801";"06";"15751";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100026@schule.nrw.de";"http://www.schule-unter-der-iburg.de";1;0;"1";"0";"0";0;null;"0";"0";"0";501047;5731508
"100027";"515000";"Schulischer Lernort";"Schule an der Beckstraße";"der Stadt Münster";"48151";"Münster";"Beckstr. 26";"0251";"795437";"0251";"77163";null;null;"81";"1";"Münster, FÖ SL Schule an der Beckstraße";6;"20160801";"03";"10248";"";"";"0";"EZ";"0";"0";null;null;null;" ";"100027@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";403902;5755682
"100028";"113000";"Realschule an der Gelsenkirchener Straße";"Städt. Realschule f. Jungen u. Mädchen";"- Sekundarstufe I -";"45309";"Essen";"Gelsenkirchener Str. 138 a";"";"";"";"";null;null;"10";"1";"Essen, RS Gelsenkirchener Straße";1;"20180801";"03";"10066";null;"";"0";" ";"0";"0";null;null;null;" ";"100028@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";364298;5705529
"100029";"119000";"Schule an der Oranienstraße";"Gem. Grundschule der Stadt Oberhausen";"- Primarstufe -";"46147";"Oberhausen";"Oranienstr. 57";"0208";"30977970";"0208";"30977971";null;null;"02";"1";"Oberhausen,GG Schule a. d. Oranienstraße";1;"20180201";"03";"10121";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100029@schule.nrw.de";"http://schule-an-der-oranienstrasse.de";1;0;"1";"0";"0";0;null;"0";"0";"1";348225;5712051
"100030";"566076";"Freie Waldorfschule Rheine";"";"";"48429";"Rheine";"Meisenstr. 30";"";"";"";"";null;null;"17";"2";"Rheine, FW Meisenstr.";1;"20170801";"60";"83239";"";"AS";"0";" ";"0";"0";null;null;null;" ";"100030@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";396178;5792951
"100032";"362012";"GGS Regenbogenschule";"der Stadt Brühl";"";"50321";"Brühl";"Kaiserstr. 158";"02232";"503030";"";"";null;null;"02";"1";"Brühl, GG (Verb.) Regenbogenschule";1;"20190801";"06";"12816";"";"GMS";"0";" ";"2";"0";null;null;null;" ";"100032@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";351464;5633767
"100033";"366036";"Bischöfliche Clara-Fey-Schule,Realschule";"als priv. Ersatzschule i. Aufbau des";"Bistums Aachen";"53937";"Schleiden";"Malmedyer Str. 2";"02445";"7012";"02445";"8507917";null;null;"10";"2";"Schleiden, RS Clara-Fey-Schule";1;"20170801";"51";"71237";null;"";"0";" ";"0";"0";null;null;null;" ";"100033@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";321565;5600732
"100034";"758004";"Das Forscherhaus Gesamtschule";"Sek.Iu.II,Staatl.gen.Ersatzschule der";"Forscherhaus gemn. Bildungsges. mbH";"32257";"Bünde";"Heidestr. 41";"05223";"4870024";"05223";"4870025";null;null;"15";"2";"Bünde, GS Das Forscherhaus";1;"20170801";"35";"81851";null;"";"1";" ";"0";"0";null;null;null;" ";"100034@schule.nrw.de";"http://www.forscherhaus-gesamtschule.de";1;0;"0";"0";"0";0;null;"0";"0";"0";472114;5782286
"100035";"766020";"August-Hermann-Francke-Berufskolleg";"als Ersatzschule in freier Trägerschaft";"des Christl.Schulver. Lippe e.V., Sek.II";"32756";"Detmold";"Georgstr. 24";"05231";"921680";"05231";"921628";null;null;"30";"2";"Detmold, BK August-Hermann-Francke";1;"20170801";"44";"73428";"";"";"0";" ";"0";"0";null;null;null;" ";"100035@schule.nrw.de";"http://berufskolleg.ahfs-detmold.de";1;0;"0";"0";"0";0;null;"0";"0";"0";491583;5755482
"100036";"315000";"Gesamtschule Helios";"";"";"50825";"Köln";"Borsigstr. 13";"0221";"500558512";"";"";null;null;"15";"1";"Köln, GE Gesamtschule Helios";1;"20180801";"03";"10182";null;"";"1";" ";"0";"0";null;null;null;" ";"100036@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";352988;5647133
"100037";"911000";"Matthias-Claudius-Schule Bochum";"Priv. evang. Berufskolleg der Sek.II";"d.Trägerver.Matthias-Claudius-Schule e.V";"44795";"Bochum";"Weitmarer Str. 115b";"0234";"943650";"";"";null;null;"30";"2";"Bochum, BK Matthias-Claudius-Schule";1;"20170801";"44";"73337";"";"";"0";" ";"0";"0";null;null;null;" ";"100037@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";374187;5702030
"100038";"962032";"Grundschule Wefelshohl";"Gem. Grundschule d. Stadt Lüdenscheid";"";"58511";"Lüdenscheid";"Gustavstr. 35";"02351";"9475190";"";"";null;null;"02";"1";"Lüdenscheid, GG Wefelshohl";1;"20180801";"06";"16366";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100038@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";406051;5674305
"100039";"382052";"Grundschule St. Albert als private";"Ersatzschule der Primarstufe";"";"53809";"Ruppichteroth";"Zum Brölbach 2";"";"";"";"";null;null;"02";"2";"Ruppichteroth, WG St. Albert";1;"20170801";"35";"83288";"";"WAS";"0";" ";"0";"0";null;null;null;" ";"100039@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";388240;5632987
"100040";"315000";"Gymnasium Zusestraße";"";"";"50859";"Köln";"Neue Sandkaul 29";"0221";"22135320";"";"";null;null;"20";"1";"Köln, Gym Zusestraße";1;"20180801";"03";"10182";null;"";"0";" ";"0";"0";null;null;null;" ";"100040@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";348232;5647911
"100041";"315000";"Gesamtschule Wasseramselweg";"der Stadt Köln";"- Sekundarstufen I und II -";"50829";"Köln";"Am Wassermann 40";"0221";"22135380";"0221";"22135378";null;null;"15";"1";"Köln, GE Wasseramselweg";1;"20180801";"03";"10182";null;"";"1";" ";"0";"0";null;null;null;" ";"100041@schule.nrw.de";"http://www.gesamtschule-wasseramselweg.de";1;0;"0";"0";"0";0;null;"0";"0";"0";350861;5646364
"100042";"154012";"Gesamtschule der Stadt Geldern";"- Sekundarstufe I und II -";"";"47608";"Geldern";"Königsberger Str. 60";"02831";"97796311";"";"";null;null;"15";"1";"Geldern, GE Königsberger Straße";1;"20180801";"06";"11599";null;"";"1";" ";"0";"0";null;null;null;" ";"100042@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";314783;5711810
"100044";"754008";"3. Gesamtschule";"Städt. Gesamtschule";"- Sekundarstufen I und II -";"33330";"Gütersloh";"Ahornallee 46";"05241";"50528210";"";"";null;null;"15";"1";"Gütersloh, GE 3. Gesamtschule";1;"20180801";"06";"16238";null;"";"1";" ";"0";"0";null;null;null;" ";"100044@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";458182;5753130
"100045";"711000";"Realschule am Schlehenweg";"Städt. Realschule Bielefeld";"- Sekundarstufe I -";"33609";"Bielefeld";"Schlehenweg 24";"0521";"518480";"0521";"557996315";null;null;"10";"1";"Bielefeld, RS am Schlehenweg";1;"20180801";"03";"10261";null;"";"1";" ";"0";"0";null;null;null;" ";"100045@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";471933;5766381
"100046";"711000";"Sekundarschule Königsbrügge";"Städt. Sekundarschule Bielefeld";"- Sekundarstufe I -";"33604";"Bielefeld";"Fritz-Reuter-Str. 30";"0521";"515970";"0521";"515974";null;null;"14";"1";"Bielefeld, SK Königsbrügge";1;"20180801";"03";"10261";"TM1";"";"1";" ";"0";"0";null;null;null;" ";"100046@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";469433;5762477
"100047";"711000";"Sekundarschule Gellershagen";"Städt. Sekundarschule Gellershagen";"- Sekundarstufe I -";"33613";"Bielefeld";"Am Brodhagen 50";"0521";"515723";"0521";"515720";null;null;"14";"1";"Bielefeld, SK Gellershagen";1;"20180801";"03";"10261";"TM1";"";"1";" ";"0";"0";null;null;null;" ";"100047@schule.nrw.de";"http://www.sekundarschulegellershagen.de";1;0;"0";"0";"0";0;null;"0";"0";"0";466781;5765801
"100048";"911000";"Gesamtschule Bochum-Mitte";"";"";"44809";"Bochum";"Feldsieper Str. 94";"";"";"";"";null;null;"15";"1";"Bochum, GE Bochum-Mitte";1;"20180801";"03";"10273";null;"";"1";" ";"0";"0";null;null;null;" ";"100048@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";375545;5706346
"100049";"334002";"dreieins-Grundschule als priv.Ersatzsch.";"der Primarst.i.Aufbau d. dreieins";"Innovative Pädagogik gGmbH";"52072";"Aachen";"Hander Weg 95";"0241";"99031900";"0241";"99031902";null;null;"02";"2";"Aachen, GG dreieins-Grundschule .Priv.Er";1;"20171208";"35";"83306";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100049@schule.nrw.de";"https://www.dreieins.org/aachen";1;0;"1";"0";"0";0;null;"0";"0";"0";292367;5632181
"100051";"915000";"Arnold-Freymuth-Gesamtschule";"der Stadt Hamm";"";"59077";"Hamm";"An der Falkschule 9";"02381";"8769710";"02381";"3046513";null;null;"15";"1";"Hamm, GE Arnold-Freymuth-Gesamtschule";1;"20180801";"03";"10315";null;"";"1";" ";"0";"0";null;null;null;" ";"100051@schule.nrw.de";"http://www.arnold-freymuth-schule.de";1;0;"0";"0";"0";0;null;"0";"0";"1";413185;5723914
"100052";"162024";"Comenius-Gesamtschule";"Städt. Schule der Sekundarstufe I u. II";"";"41464";"Neuss";"Weberstr. 90a";"02131";"1330380";"02131";"13303817";null;null;"15";"1";"Neuss, GE Comenius-Gesamtschule";1;"20180801";"06";"10110";null;"";"1";" ";"0";"0";null;null;null;" ";"100052@schule.nrw.de";"http://www.comeniusgesamtschule.de";1;0;"0";"0";"0";0;null;"0";"0";"0";338690;5672662
"100053";"562012";"Neue Sekundarschule Dorsten";"-Sekundarstufe I-";"";"46284";"Dorsten";"Juliusstr. 1";"02362";"9950905";"02362";"9950906";null;null;"14";"1";"Dorsten, SK Juliusstraße";1;"20180801";"06";"14540";"TM1";"";"1";" ";"0";"0";null;null;null;" ";"100053@schule.nrw.de";"http://www.neueschuledorsten.de";1;0;"0";"0";"0";0;null;"0";"0";"1";358763;5726965
"100054";"124000";"Offene Gemeinschaftsgrundschule";"Matthäusstraße";"- Primarstufe - Stadt Wuppertal";"42277";"Wuppertal";"Matthäusstr. 24";"";"";"";"";null;null;"02";"1";"Wuppertal, GG Matthäusstraße";1;"20190801";"03";"10169";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100054@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";375473;5682404
"100056";"913000";"CJD Berufskolleg,staatl.gen.Ersatzschule";"d.-Sek II, d. Trägers d. Christliches";"Jugenddorfwerk Deutschlands gemein. e.V.";"44149";"Dortmund";"Echeloh 74";"";"";"";"";null;null;"30";"2";"Dortmund, BK CJD Berufskolleg";1;"20180801";"44";"72369";"";"";"0";" ";"0";"0";null;null;null;" ";"100056@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";386434;5705312
"100057";"754008";"Schule für Kranke Gütersloh";"d. Landschaftsverbandes Westfalen-Lippe";"";"33334";"Gütersloh";"Im Füchtei 148";"05241";"5246709";"";"";null;null;"83";"1";"Gütersloh, KR im Füchtei";1;"20180801";"09";"10030";"";"";"0";"KR";"0";"0";null;null;null;" ";"100057@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";455013;5749801
"100058";"515000";"Weiterbildungskolleg Münster";"Abendrealschule und Abendgymnasium";"";"48147";"Münster";"Uppenkampstiege 21";"0251";"2892790";"0251";"28927929";null;null;"25";"1";"Münster, WBK RS, Gym Uppenkampstiege";1;"20180801";"03";"10248";"";"GR";"0";" ";"1";"0";null;null;null;" ";"100058@schule.nrw.de";"https://wbk.ms";1;0;"0";"0";"0";0;null;"0";"0";"0";405673;5759287
"100059";"116000";"FASAN Freie Aktive Schule a. Niederrhein";"Staatl.gen.priv.Ersatzsch. f.d. Primar.";"d.FASAN Fr. Aktive Schule a. Niederrhein";"41063";"Mönchengladbach";"Alsstr. 70-72";"02161";"9043164";"";"";null;null;"02";"2";"Mönchengladbach, GG FASAN Freie Aktive";1;"20180817";"36";"83392";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100059@schule.nrw.de";"https://www.fasan.schule";1;0;"0";"0";"0";0;null;"0";"0";"0";322045;5675569
"100060";"116000";"Textilakademie NRW Berufskolleg Sek. II";"Staatl. gen. priv. Ersatzschule der";"Textilakademie NRW Berufskolleg gGmbH";"41065";"Mönchengladbach";"Rheydter Str. 329";"02161";"24750";"02161";"2475222";null;null;"30";"2";"Mönchengladbach, BK Textilakademie NRW";1;"20180830";"35";"83409";"";"";"0";" ";"0";"0";null;null;null;" ";"100060@schule.nrw.de";"https://www.textilakademie.de";1;0;"0";"0";"0";0;null;"0";"0";"0";321120;5672743
"100061";"111000";"Städtische Gemeinschaftsgrundschule";"Steinkaul 27";"-Primarstufe-";"40589";"Düsseldorf";"Steinkaul 27";"";"";"";"";null;null;"02";"1";"Düsseldorf, GG Steinkaul";1;"20190801";"03";"10042";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100061@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";346650;5671005
"100062";"774032";"Schule für Kranke Paderborn";"des Landschaftsverbandes Westfalen-Lippe";"";"33098";"Paderborn";"Am Ostfriedhof 10";"";"";"";"";null;null;"83";"1";"Paderborn, KR LWL-Tagesklinik Paderborn";1;"20190201";"09";"10030";"";"";"0";"KR";"0";"0";null;null;null;" ";"100062@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";483781;5729711
"100063";"170048";"Ida-Noddack-Gesamtschule";"- Sekundarstufe I und II -";"";"46483";"Wesel";"Martinistr. 12";"0281";"22060";"";"";null;null;"15";"1";"Wesel, GE Ida Noddack";1;"20190801";"06";"12312";null;"";"1";" ";"0";"0";null;null;null;" ";"100063@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";334868;5725921
"100064";"314000";"Städtische Gemeinschaftsgrundschule";"";"";"53117";"Bonn";"Peter-Klein-Str. 4";"";"";"";"";null;null;"02";"1";"Bonn, GG Peter-Klein-Straße";1;"20190801";"03";"10170";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100064@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";363006;5624414
"100065";"515000";"Städtische Grundschule";"Wolbeck - Nord";"";"48167";"Münster";"Grenkuhlenweg 21";"";"";"";"";null;null;"02";"1";"Münster, GG Wolbeck - Nord";1;"20190801";"03";"10248";"";"GMS";"0";" ";"0";"0";null;null;null;" ";"100065@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"1";412601;5753556
"100066";"113000";"Städtische Gemeinschaftshauptschule";"Katernberg";"- Sekundarstufe I -";"45327";"Essen";"Termeerhöfe 30a";"";"";"";"";null;null;"04";"1";"Essen, GH Termeerhöfe";1;"20190801";"03";"10066";null;"GMS";"0";" ";"0";"0";null;null;null;" ";"100066@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";364475;5707343
"100067";"111000";"Städtische Katholische Grundschule";"Niederkassel";"- Primarstufe -";"40547";"Düsseldorf";"Niederkasseler Str. 36";"0211";"5585933";"0211";"9542305";null;null;"02";"1";"Düsseldorf, KG Niederkassel";1;"19730801";"03";"10042";"";"RKB";"0";" ";"0";"0";null;null;null;" ";"100067@schule.nrw.de";"http://www.grundschuleniederkassel.de";1;0;"1";"0";"0";0;null;"0";"0";"0";343203;5678621
"100068";"315000";"Gesamtschule Köln-Lindenthal";"- Sekundarstufen I und II -";"";"50937";"Köln";"Berrenrather Str. 488";"";"";"";"";null;null;"15";"1";"Köln, GE Köln-Lindenthal";1;"20190801";"03";"10182";null;"";"0";" ";"0";"0";null;null;null;" ";"100068@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";353288;5641605
"100069";"158026";"Gesamtschule am Berliner Ring";"- Sekundarstufe I und II -";"";"40789";"Monheim am Rhein";"Berliner Ring 5";"";"";"";"";null;null;"15";"1";"Monheim am Rhein, GE Berliner Ring";1;"20190801";"06";"12439";null;"";"1";" ";"0";"0";null;null;null;" ";"100069@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";352037;5661394
"100070";"158032";"Gesamtschule Velbert-Neviges";"Städt. Gesamtschule";"- Sekundarstufe I und II -";"42553";"Velbert";"An der Maikammer 46-54";"";"";"";"";null;null;"15";"1";"Velbert, GE Velbert-Neviges";1;"20190801";"06";"11514";null;"";"1";" ";"0";"0";null;null;null;" ";"100070@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";365829;5685963
"100071";"315000";"Gesamtschule Dellbrücker Mauspfad";"- Sekundarstufe I und II -";"";"51069";"Köln";"Dellbrücker Mauspfad 200";"0221";"938500448";"0221";"938500495";null;null;"15";"1";"Köln, GE Dellbrücker Mauspfad";1;"20190801";"03";"10182";null;"";"1";" ";"0";"0";null;null;null;" ";"100071@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";364307;5648285
"100073";"774032";"Kath. Grundschule St. Michael, Staatl.";"gen. Grundschule f. Jungen u. Mädchen";"- Primarstufe- d. Bistums Paderborn";"33098";"Paderborn";"Blasiusstr. 11";"";"";"";"";null;null;"02";"2";"Paderborn, KG St. Michael";1;"20190801";"51";"72783";"";"RKB";"1";" ";"0";"0";null;null;null;" ";"100073@schule.nrw.de";"https://grundschule-sankt-michael.de/";1;0;"0";"0";"0";0;null;"0";"0";"0";483736;5729648
"100074";"962004";"Hundertwasser-Schule";"Förderschule des Märkischen Kreises";"Fsp. Lernen u. Sprache - Primar-u. Sek.I";"58762";"Altena";"Nüggelnstück 3";"";"";"";"";null;null;"08";"1";"Altena, FÖ SQ, LE Hundertwasser-Schule";1;"20190801";"04";"10777";"";"";"1";"SB";"1";"0";null;null;null;" ";"100074@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";406645;5679488
"100075";"570004";"Schulischer Lernort Regenbogenschulhaus";"des Kreises Warendorf";"";"59229";"Ahlen";"Im Pattenmeicheln 14";"";"";"";"";null;null;"81";"1";"Ahlen, FÖ SL Regenbogenschulhaus";6;"20190801";"04";"10649";"";"";"0";" ";"0";"0";null;null;null;" ";"100075@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";423462;5734236
"100076";"762004";"Grundschule St. Walburga Neuenheerse";"Kath.Bekenntnisgrundschule,priv.Ersatz.";"f.d. Primar.,d.Trägervereins St.Walburga";"33014";"Bad Driburg";"Taildor 8";"05259";"542";"05259";"932210";null;null;"02";"2";"Bad Driburg, GG St. Walburga Neuenheerse";1;"20190801";"42";"10002";"";"RKB";"2";" ";"0";"0";null;null;null;" ";"100076@schule.nrw.de";"http://www.st-walburga-grundschule.de";1;0;"0";"0";"0";0;null;"0";"0";"0";499949;5724780
"100078";"315000";"LOGOS-Grundschule";"Russisch-Orthodoxe Bekenntnisgrundschule";"";"51065";"Köln";"Arnsberger Str. 11";"";"";"";"";null;null;"02";"2";"Köln, GG LOGOS";1;"20190801";"32";"10004";"";"ROB";"2";" ";"0";"0";null;null;null;" ";"100078@schule.nrw.de";"";1;0;"0";"0";"0";0;null;"0";"0";"0";360559;5646621
"100079";"111000";"Paulus Schule";"Städt. Kath. Grundschule";"- Primarstufe -";"40237";"Düsseldorf";"Paulusplatz 1";"0211";"667608";"0211";"6799796";null;null;"02";"1";"Düsseldorf, KG Paulus Schule";1;"19730801";"03";"10042";"";"RKB";"0";" ";"0";"0";null;null;null;" ";"100079@schule.nrw.de";"";1;0;"1";"0";"0";0;null;"0";"0";"0";346730;5678352
