BKIndex;Flag;FKS;AP;BGrp;BFeld;Ebene3;BAKLALT;BAGRALT;Sortierung;Status;Flag_APOBK;Beschreibung;Beschreibung_W;Beschreibung_MW;geaendert;BAKL;BAGR;Ebene1;Ebene2
10;"1";"137";"00";"O";"OH";"A3";"42";"4231";10;"********************";"1";"Brenner";"Brennerin";"Brenner/-in";;"*****";"2913201";"TN";"**"
10;"3";"138";"00";"O";"OH";"**";"13";"1358";10;"Ausgelaufen";"1";"Brillenoptikschleifer";"Brillenoptikschleiferin";"Brillenoptikschleifer/-in";;"*****";"2136203";"**";"**"
10;"1";"139";"00";"T";"BT";"A3";"46";"4662";10;"********************";"1";"Brunnenbauer";"Brunnenbauerin";"Brunnenbauer/-in";;"*****";"3224201";"TN";"**"
10;"1";"140";"00";"T";"DT";"A3";"17";"1780";10;"********************";"1";"Buchbinder";"Buchbinderin";"Buchbinder/-in";;"*****";"2342202";"TN";"**"
10;"1";"141";"00";"W";"WV";"A3";"67";"6740";10;"********************";"1";"Buchhändler";"Buchhändlerin";"Buchhändler/-in";;"*****";"6251201";"WV";"**"
10;"1";"142";"00";"T";"MT";"A3";"30";"3003";10;"********************";"1";"Büchsenmacher";"Büchsenmacherin";"Büchsenmacher/-in";;"*****";"2452201";"OZ";"**"
10;"3";"143";"00";"T";"ET";"**";"31";"3175";10;"Ausgelaufen";"1";"Büroinformationselektroniker";"Büroinformationselektronikerin";"Büroinformationselektroniker/-in";;"*****";"2631222";"**";"**"
10;"3";"144";"00";"W";"WV";"**";"78";"7803";10;"Ausgelaufen";"1";"Bürokaufmann";"Bürokauffrau";"Bürokaufmann/-frau";;"*****";"7140222";"**";"**"
10;"3";"145";"00";"O";"OH";"**";"18";"1853";10;"Ausgelaufen";"1";"Bürsten- u. Pinselmacher";"Bürsten- u. Pinselmacherin";"Bürsten- u. Pinselmacher/-in";;"*****";"2235201";"**";"**"
10;"3";"146";"00";"T";"CP";"**";"14";"1410";10;"Ausgelaufen";"1";"Chemiebetriebsjungwerker";"Chemiebetriebsjungwerkerin";"Chemiebetriebsjungwerker/-in";;"*****";"4131204";"**";"**"
10;"1";"147";"00";"T";"CP";"A4";"63";"6330";10;"********************";"1";"Chemielaborant";"Chemielaborantin";"Chemielaborant/-in";;"*****";"4132201";"TN";"**"
10;"1";"148";"00";"T";"CP";"A2";"14";"1421";10;"********************";"1";"Chemielaborjungwerker";"Chemielaborjungwerkerin";"Chemielaborjungwerker/-in";;"*****";"4132202";"TN";"**"
10;"3";"149";"00";"T";"CP";"**";"17";"1731";10;"Ausgelaufen";"1";"Chemigraf";"Chemigrafin";"Chemigraf/-in";;"*****";"2321209";"**";"**"
10;"1";"150";"00";"T";"CP";"A4";"14";"1410";10;"********************";"1";"Chemikant";"Chemikantin";"Chemikant/-in";;"*****";"4131202";"TN";"**"
10;"1";"151";"00";"T";"MT";"A4";"29";"2951";10;"********************";"1";"Chirurgiemechaniker";"Chirurgiemechanikerin";"Chirurgiemechaniker/-in";;"*****";"2452203";"TN";"**"
10;"3";"152";"00";"T";"BT";"A3";"**";"****";10;"Ausgelaufen";"3";"Dachdecker";"Dachdeckerin";"Dachdecker/-in";;"*****";"********";"TN";"**"
10;"3";"153";"00";"T";"TB";"**";"35";"3513";10;"Ausgelaufen";"1";"Damenschneider";"Damenschneiderin";"Damenschneider/-in";;"*****";"2822208";"**";"**"
10;"3";"154";"00";"W";"WV";"**";"77";"7791";10;"Ausgelaufen";"1";"Datenverarbeitungskaufmann";"Datenverarbeitungskauffrau";"Datenverarbeitungskaufmann/-frau";;"*****";"4323302";"**";"**"
10;"3";"155";"00";"O";"OH";"**";"17";"1721";10;"Ausgelaufen";"1";"Dekorvorlagenhersteller";"Dekorvorlagenherstellerin";"Dekorvorlagenhersteller/-in";;"*****";"2321209";"**";"**"
10;"1";"156";"00";"O";"OH";"A3";"42";"4232";10;"********************";"1";"Destillateur";"Destillateurin";"Destillateur/-in";;"*****";"2913202";"EH";"**"
10;"2";"157";"00";"O";"OH";"A3";"10";"1018";10;"********************";"1";"Diamantschleifer";"Diamantschleiferin";"Diamantschleifer/-in";;"*****";"9352203";"OZ";"**"
10;"3";"158";"00";"W";"WV";"**";"73";"7320";10;"Ausgelaufen";"1";"Dienstleistungsfachkraft im Postbetrieb";"Dienstleistungsfachkraft im Postbetrieb";"Dienstleistungsfachkraft im Postbetrieb";;"*****";"5132203";"**";"**"
10;"3";"159";"00";"T";"MT";"**";"21";"2123";10;"Ausgelaufen";"1";"Drahtwarenmacher";"Drahtwarenmacherin";"Drahtwarenmacher/-in";;"*****";"2420216";"**";"**"
10;"3";"160";"00";"T";"MT";"**";"19";"1944";10;"Ausgelaufen";"1";"Drahtzieher";"Drahtzieherin";"Drahtzieher/-in";;"*****";"2420216";"**";"**"
10;"3";"161";"00";"O";"OH";"**";"18";"1851";10;"Ausgelaufen";"1";"Drechsler (Elfenbeinschnitzer)";"Drechslerin (Elfenbeinschnitzerin)";"Drechsler/-in (Elfenbeinschnitzer)";;"*****";"9333203";"**";"**"
10;"3";"162";"00";"T";"MT";"**";"22";"2210";10;"Ausgelaufen";"1";"Dreher";"Dreherin";"Dreher/-in";;"*****";"2451203";"**";"**"
10;"1";"163";"00";"O";"OH";"A3";"67";"6751";10;"********************";"1";"Drogist";"Drogistin";"Drogist/-in";;"*****";"6241202";"WV";"**"
10;"3";"164";"00";"T";"DT";"**";"17";"1740";10;"Ausgelaufen";"1";"Drucker";"Druckerin";"Drucker/-in";;"*****";"2341207";"**";"**"
10;"3";"165";"00";"T";"DT";"**";"17";"1730";10;"Ausgelaufen";"1";"Druckformhersteller";"Druckformherstellerin";"Druckformhersteller/-in";;"*****";"2321208";"**";"**"
10;"3";"166";"00";"T";"DT";"**";"17";"1720";10;"Ausgelaufen";"1";"Druckvorlagenhersteller";"Druckvorlagenherstellerin";"Druckvorlagenhersteller/-in";;"*****";"2321208";"**";"**"
10;"1";"167";"00";"T";"CP";"A3";"63";"6335";10;"********************";"1";"Edelmetallprüfer";"Edelmetallprüferin";"Edelmetallprüfer/-in";;"*****";"4142201";"OZ";"**"
10;"1";"168";"00";"O";"OH";"A4";"30";"3023";10;"********************";"1";"Edelsteinfasser";"Edelsteinfasserin";"Edelsteinfasser/-in";;"*****";"9352204";"OZ";"**"
10;"2";"169";"00";"O";"OH";"A3";"10";"1018";10;"********************";"1";"Edelsteingraveur";"Edelsteingraveurin";"Edelsteingraveur/-in";;"*****";"9352205";"OZ";"**"
10;"2";"170";"00";"O";"OH";"A3";"10";"1018";10;"********************";"1";"Edelsteinschleifer";"Edelsteinschleiferin";"Edelsteinschleifer/-in";;"*****";"9352206";"OZ";"**"
10;"1";"171";"00";"O";"OH";"A3";"71";"7120";10;"********************";"1";"Eisenbahner im Betriebsdienst";"Eisenbahnerin im Betriebsdienst";"Eisenbahner/-in im Betriebsdienst";;"*****";"5152201";"TN";"**"
10;"1";"172";"00";"T";"ET";"A3";"31";"3111";10;"********************";"1";"Elektroanlagenmonteur";"Elektroanlagenmonteurin";"Elektroanlagenmonteur/-in";;"*****";"2626201";"TN";"**"
10;"3";"173";"00";"T";"ET";"**";"31";"3100";10;"Ausgelaufen";"1";"Elektroinstallateur";"Elektroinstallateurin";"Elektroinstallateur/-in";;"*****";"2625201";"**";"**"
10;"3";"174";"00";"T";"ET";"**";"31";"3130";10;"Ausgelaufen";"1";"Elektromaschinenbauer";"Elektromaschinenbauerin";"Elektromaschinenbauer/-in";;"*****";"2622203";"**";"**"
10;"3";"175";"00";"T";"ET";"**";"31";"3131";10;"Ausgelaufen";"1";"Elektromaschinenmonteur";"Elektromaschinenmonteurin";"Elektromaschinenmonteur/-in";;"*****";"2631211";"**";"**"
10;"3";"176";"00";"T";"ET";"**";"31";"3161";10;"Ausgelaufen";"1";"Elektromechaniker";"Elektromechanikerin";"Elektromechaniker/-in";;"*****";"2631239";"**";"**"
10;"3";"177";"00";"T";"ET";"**";"31";"3171";10;"Ausgelaufen";"1";"Elektroniker für informationstechnische Systeme";"Elektronikerin für informationstechnische Systeme";"Elektroniker/-in für informationstechnische Systeme";;"*****";"********";"**";"**"
10;"3";"178";"00";"O";"OH";"**";"23";"2355";10;"Ausgelaufen";"1";"Emailschriftenmaler";"Emailschriftenmalerin";"Emailschriftenmaler/-in";;"*****";"9354201";"**";"**"
10;"1";"180";"00";"T";"BT";"A3";"48";"4862";10;"********************";"1";"Estrichleger";"Estrichlegerin";"Estrichleger/-in";;"*****";"3312201";"TN";"**"
10;"3";"181";"00";"W";"WV";"**";"78";"7873";10;"Ausgelaufen";"1";"Fachangestellter für Arbeitsförderung";"Fachangestellte für Arbeitsförderung";"Fachangestellte/-r für Arbeitsförderung";;"*****";"7321203";"**";"**"
10;"1";"182";"00";"O";"OH";"A3";"79";"7951";10;"********************";"1";"Fachangestellter für Bäderbetriebe";"Fachangestellte für Bäderbetriebe";"Fachangestellte/-r für Bäderbetriebe";;"*****";"5314201";"GS";"**"
10;"3";"184";"00";"W";"WV";"**";"78";"7870";10;"Ausgelaufen";"1";"Fachangestellter für Bürokommunikation";"Fachangestellte für Bürokommunikation";"Fachangestellte/-r für Bürokommunikation";;"*****";"7140209";"**";"**"
10;"3";"185";"00";"W";"WV";"**";"91";"9151";10;"Ausgelaufen";"1";"Fachgehilfe im Gastgewerbe";"Fachgehilfin im Gastgewerbe";"Fachgehilfe/-gehilfin im Gastgewerbe";;"*****";"6330101";"**";"**"
10;"3";"186";"00";"W";"WV";"**";"75";"7541";10;"Ausgelaufen";"1";"Fachgehilfe in steuer- u. wirtschaftsberatenden Berufen";"Fachgehilfin in steuer- u. wirtschaftsberatenden Berufen";"Fachgehilfe/-gehilfin in steuer- u. wirtschaftsberatenden Berufen";;"*****";"7230202";"**";"**"
10;"3";"188";"00";"W";"WV";"**";"73";"7320";10;"Ausgelaufen";"1";"Fachkraft für Brief- u. Frachtverkehr";"Fachkraft für Brief- u. Frachtverkehr";"Fachkraft für Brief- u. Frachtverkehr";;"*****";"5132203";"**";"**"
10;"1";"189";"00";"O";"OH";"A3";"42";"4234";10;"********************";"1";"Fachkraft für Fruchtsafttechnik";"Fachkraft für Fruchtsafttechnik";"Fachkraft für Fruchtsafttechnik";;"*****";"2914201";"OZ";"**"
10;"1";"190";"00";"O";"OH";"A3";"43";"4350";10;"********************";"1";"Fachkraft für Lebensmitteltechnik";"Fachkraft für Lebensmitteltechnik";"Fachkraft für Lebensmitteltechnik";;"*****";"2920201";"EH";"**"
10;"3";"191";"00";"O";"OH";"**";"39";"3930";10;"Ausgelaufen";"1";"Fachkraft für Süßwarentechnik";"Fachkraft für Süßwarentechnik";"Fachkraft für Süßwarentechnik";;"*****";"2926201";"**";"**"
10;"3";"192";"00";"O";"OH";"**";"74";"7410";10;"Ausgelaufen";"1";"Fachkraft für Lagerwirtschaft";"Fachkraft für Lagerwirtschaft";"Fachkraft für Lagerwirtschaft";;"*****";"5131203";"**";"**"
10;"1";"193";"00";"E";"EH";"A3";"91";"9140";10;"********************";"1";"Fachmann für Systemgastronomie";"Fachfrau für Systemgastronomie";"Fachmann/-frau für Systemgastronomie";;"*****";"6331202";"EH";"**"
10;"1";"194";"00";"O";"OH";"A3";"83";"8354";10;"********************";"1";"Fachkraft für Veranstaltungstechnik";"Fachkraft für Veranstaltungstechnik";"Fachkraft für Veranstaltungstechnik";;"*****";"9451201";"TN";"**"
10;"1";"195";"00";"E";"EH";"A2";"91";"9151";10;"********************";"1";"Fachkraft im Gastgewerbe";"Fachkraft im Gastgewerbe";"Fachkraft im Gastgewerbe";;"*****";"6330201";"EH";"**"
10;"3";"196";"00";"W";"WV";"**";"70";"7016";10;"Ausgelaufen";"1";"Fachmann für Luftfahrtservice";"Fachfrau für Luftfahrtservice";"Fachmann/-frau für Luftfahrtservice";;"*****";"********";"**";"**"
10;"3";"197";"00";"E";"EH";"**";"66";"6611";10;"Ausgelaufen";"1";"Fachverkäufer im Nahrungsmittelhandwerk";"Fachverkäuferin im Nahrungsmittelhandwerk";"Fachverkäufer/-in im Nahrungsmittelhandwerk";;"*****";"6230202";"**";"**"
10;"3";"198";"00";"G";"FR";"**";"49";"4922";10;"Ausgelaufen";"1";"Fahrzeugpolsterer";"Fahrzeugpolsterin";"Fahrzeugpolsterer/-in";;"*****";"2824201";"**";"**"
10;"3";"199";"00";"T";"HT";"**";"50";"5061";10;"Ausgelaufen";"1";"Fahrzeugstellmacher";"Fahrzeugstellmacherin";"Fahrzeugstellmacher/-in";;"*****";"2238204";"**";"**"
10;"1";"200";"00";"T";"BT";"A3";"44";"4412";10;"********************";"1";"Fassadenmonteur";"Fassadenmonteurin";"Fassadenmonteur/-in";;"*****";"3215201";"TN";"**"
10;"3";"201";"00";"T";"MT";"**";"21";"2126";10;"Ausgelaufen";"1";"Federmacher";"Federmacherin";"Federmacher/-in";;"*****";"2421202";"**";"**"
10;"1";"203";"00";"T";"MT";"A4";"13";"1356";10;"********************";"1";"Feinoptiker";"Feinoptikerin";"Feinoptiker/-in";;"*****";"2136202";"TN";"**"
10;"3";"204";"00";"O";"OH";"**";"37";"3742";10;"Ausgelaufen";"1";"Feinsattler";"Feinsattlerin";"Feinsattler/-in";;"*****";"2832204";"**";"**"
10;"3";"205";"00";"O";"OH";"**";"37";"3745";10;"Ausgelaufen";"1";"Feintäschner";"Feintäschnerin";"Feintäschner/-in";;"*****";"2832204";"**";"**"
10;"3";"206";"00";"T";"ET";"**";"31";"3125";10;"Ausgelaufen";"1";"Fernmeldeanlagenelektroniker";"Fernmeldeanlagenelektronikerin";"Fernmeldeanlagenelektroniker/-in";;"*****";"2631210";"**";"**"
10;"1";"207";"00";"T";"MT";"A3";"27";"2782";10;"********************";"1";"Fertigungsmechaniker";"Fertigungsmechanikerin";"Fertigungsmechaniker/-in";;"*****";"2511201";"TN";"**"
10;"1";"208";"00";"T";"BT";"A3";"44";"4414";10;"********************";"1";"Feuerungs- und Schornsteinbauer";"Feuerungs- und Schornsteinbauerin";"Feuerungs- und Schornsteinbauer/-in";;"*****";"3213201";"TN";"**"
10;"1";"209";"00";"O";"OH";"A3";"12";"1211";10;"********************";"1";"Figurenkeramformer";"Figurenkeramformerin";"Figurenkeramformer/-in";;"*****";"2142201";"OZ";"**"
10;"3";"210";"00";"O";"OH";"A3";"63";"6342";10;"********************";"1";"Film- und Videolaborant";"Film- und Videolaborantin";"Film- und Videolaborant/-in";;"*****";"2331201";"OZ";"**"
10;"1";"211";"00";"O";"OH";"A3";"83";"8354";10;"********************";"1";"Film- und Videoeditor";"Film- und Videoeditorin";"Film- und Videoeditor/-in";;"*****";"9453201";"OZ";"**"
10;"3";"212";"00";"A";"AW";"A3";"02";"0236";10;"Ausgelaufen";"1";"Fischwirt";"Fischwirtin";"Fischwirt/-in";;"*****";"1140201";"OZ";"**"
10;"3";"213";"00";"O";"OH";"A3";"13";"1350";10;"Ausgelaufen";"1";"Flachglasmechaniker";"Flachglasmechanikerin";"Flachglasmechaniker/-in";;"*****";"2134205";"TN";"**"
10;"1";"214";"00";"E";"EH";"A3";"40";"4010";10;"********************";"1";"Fleischer";"Fleischerin";"Fleischer/-in";;"*****";"2923201";"EH";"**"
10;"3";"215";"00";"T";"DT";"**";"17";"1736";10;"Ausgelaufen";"1";"Flexograf";"Flexografin";"Flexograf/-in";;"*****";"2328204";"**";"**"
10;"1";"216";"00";"T";"BT";"A3";"48";"4830";10;"********************";"1";"Fliesen-, Platten-, Mosaikleger";"Fliesen-, Platten-, Mosaiklegerin";"Fliesen-, Platten-, Mosaikleger/-in";;"*****";"3311201";"TN";"**"
10;"1";"217";"00";"O";"OH";"A3";"05";"0530";10;"********************";"1";"Florist";"Floristin";"Florist/-in";;"*****";"1220201";"GT";"**"
10;"3";"218";"00";"T";"MT";"**";"28";"2835";10;"Ausgelaufen";"1";"Fluggerätebauer";"Fluggerätebauerin";"Fluggerätebauer/-in";;"*****";"2523202";"**";"**"
10;"1";"219";"00";"T";"MT";"A4";"31";"3163";10;"********************";"1";"Fluggeräteelektroniker";"Fluggeräteelektronikerin";"Fluggeräteelektroniker/-in";;"*****";"2633202";"TN";"**"
10;"3";"220";"00";"T";"MT";"**";"28";"2830";10;"Ausgelaufen";"1";"Fluggerätmechaniker";"Fluggerätmechanikerin";"Fluggerätmechaniker/-in";;"*****";"2523202";"**";"**"
10;"3";"221";"00";"T";"MT";"**";"17";"1739";10;"Ausgelaufen";"1";"Formstecher";"Formstecherin";"Formstecher/-in";;"*****";"2814202";"**";"**"
10;"1";"222";"00";"A";"AW";"A3";"06";"0621";10;"********************";"1";"Forstwirt";"Forstwirtin";"Forstwirt/-in";;"*****";"1171201";"AW";"**"
10;"1";"223";"00";"O";"OH";"A3";"83";"8370";10;"********************";"1";"Fotograf";"Fotografin";"Fotograf/-in";;"*****";"2332202";"GT";"**"
10;"3";"224";"00";"T";"DT";"**";"83";"8348";10;"Ausgelaufen";"1";"Fotogravurzeichner";"Fotogravurzeichnerin";"Fotogravurzeichner/-in";;"*****";"2321208";"**";"**"
10;"3";"225";"00";"O";"OH";"**";"63";"6341";10;"Ausgelaufen";"1";"Fotolaborant";"Fotolaborantin";"Fotolaborant/-in";;"*****";"2331209";"**";"**"
10;"3";"226";"00";"O";"OH";"**";"63";"6341";10;"Ausgelaufen";"1";"Fotomedienlaborant";"Fotomedienlaborantin";"Fotomedienlaborant/-in";;"*****";"2331209";"**";"**"
10;"3";"227";"00";"T";"MT";"**";"22";"2220";10;"Ausgelaufen";"1";"Fräser";"Fräserin";"Fräser/-in";;"*****";"2420216";"**";"**"
10;"1";"228";"00";"S";"KP";"A3";"90";"9010";10;"********************";"1";"Friseur";"Friseurin";"Friseur/-in";;"*****";"8231201";"GS";"**"
10;"3";"229";"00";"T";"CP";"**";"23";"2340";10;"Ausgelaufen";"1";"Galvaniseur";"Galvaniseurin";"Galvaniseur/-in";;"*****";"2430203";"**";"**"
10;"3";"230";"00";"T";"CP";"**";"23";"2341";10;"Ausgelaufen";"1";"Galvaniseur u. Metallschleifer";"Galvaniseurin u. Metallschleiferin";"Galvaniseur/-in u. Metallschleifer/-in";;"*****";"2430203";"**";"**"
10;"3";"231";"00";"T";"CP";"**";"17";"1735";10;"Ausgelaufen";"1";"Galvanoplastiker";"Galvanoplastikerin";"Galvanoplastiker/-in";;"*****";"2321209";"**";"**"
10;"3";"233";"00";"T";"MT";"**";"26";"2671";10;"Ausgelaufen";"1";"Gas- u. Wasserinstallateur";"Gas- u. Wasserinstallateurin";"Gas- u. Wasserinstallateur/-in";;"*****";"3421201";"**";"**"
10;"1";"234";"00";"O";"OH";"A3";"93";"9340";10;"********************";"1";"Gebäudereiniger";"Gebäudereinigerin";"Gebäudereiniger/-in";;"*****";"5411204";"TN";"**"
10;"1";"235";"00";"O";"OH";"A3";"30";"3054";10;"********************";"1";"Geigenbauer";"Geigenbauerin";"Geigenbauer/-in";;"*****";"9361202";"OZ";"**"
10;"3";"236";"00";"O";"OH";"**";"27";"2782";10;"Ausgelaufen";"1";"Gerätezusammensetzer";"Gerätezusammensetzerin";"Gerätezusammensetzer/-in";;"*****";"2420216";"**";"**"
10;"1";"237";"00";"O";"OH";"A3";"44";"4431";10;"********************";"1";"Gerüstbauer";"Gerüstbauerin";"Gerüstbauer/-in";;"*****";"3216201";"TN";"**"
10;"1";"238";"00";"*";"**";"A4";"20";"2010";10;"********************";"1";"Gießereimechaniker";"Gießereimechanikerin";"Gießereimechaniker/-in";;"*****";"2413201";"TN";"**"
10;"3";"239";"00";"G";"FR";"**";"12";"1212";10;"Ausgelaufen";"1";"Gipsformengießer";"Gipsformengießerin";"Gipsformengießer/-in";;"*****";"********";"**";"**"
10;"1";"240";"00";"O";"OH";"A3";"13";"1316";10;"********************";"1";"Glasapparatebauer";"Glasapparatebauerin";"Glasapparatebauer/-in";;"*****";"2132201";"TN";"**"
10;"3";"241";"00";"O";"OH";"**";"13";"1312";10;"Ausgelaufen";"1";"Glasbläser";"Glasbläserin";"Glasbläser/-in";;"*****";"9343201";"**";"**"
10;"3";"242";"00";"O";"OH";"**";"48";"4850";10;"Ausgelaufen";"1";"Glaser";"Glaserin";"Glaser/-in";;"*****";"3334201";"**";"**"
10;"3";"243";"00";"G";"FR";"**";"13";"1354";10;"Ausgelaufen";"1";"Glasgraveur";"Glasgraveurin";"Glasgraveur/-in";;"*****";"********";"**";"**"
10;"1";"244";"00";"O";"OH";"A3";"13";"1312";10;"********************";"1";"Glasmacher";"Glasmacherin";"Glasmacher/-in";;"*****";"2131201";"TN";"**"
