ID;Kurztext;Langtext;Beginn;Ende;Sort;geaendert
19;"70";"Sozialwesen, Sozialpädagogik, Sozialpflege, Sozialwissenschaft";1900-01-01T00:00;null;6100;
76;"SQ";"Sprache";1900-01-01T00:00;null;6200;
65;"36";"Technische Informatik";1900-01-01T00:00;null;6300;
37;"TI";"Technische Informatik (spez. Fachrichtung)";1900-01-01T00:00;null;6400;
11;"31";"Textil-, Bekleidungstechnik, Textilgestaltung";1900-01-01T00:00;null;6500;
42;"TB";"Tiefbau (spez. Fachrichtung)";1900-01-01T00:00;null;6600;
64;"25";"Tiefbautechnik";1900-01-01T00:00;null;6700;
57;"UR";"Unternehmensrechnung";1900-01-01T00:00;null;6800;
46;"VR";"Verkehr";1900-01-01T00:00;null;6900;
47;"VL";"Versicherung";1900-01-01T00:00;null;7000;
70;"VB";"Versicherungsbetriebslehre";1900-01-01T00:00;null;7100;
61;"07";"Versorgungstechnik";1900-01-01T00:00;null;7200;
36;"VT";"Versorgungstechnik (spez. Fachrichtung)";1900-01-01T00:00;null;7300;
50;"WL";"Wirtschaftliche Warenlehre";1900-01-01T00:00;null;7400;
51;"WG";"Wirtschaftsgeographie";1900-01-01T00:00;null;7500;
52;"WI";"Wirtschaftsinformatik";1900-01-01T00:00;null;7600;
16;"60";"Wirtschaftswissenschaft in kaufmännischen Berufen";1900-01-01T00:00;null;7700;
